256 256*256 batch_size = 4, 0.4均分  1e-6
256 256*256 batch_size = 4, 0.4均分  1e-6
train [49/100] loss 0.0249, acc 0.9939, best_epoch 40

test [50/100] loss: 0.100, acc 0.9654, best_acc 0.9707

train [50/100] loss 0.0255, acc 0.9921, best_epoch 40

test [51/100] loss: 0.102, acc 0.9553, best_acc 0.9707

train [51/100] loss 0.0286, acc 0.9904, best_epoch 40

test [52/100] loss: 0.115, acc 0.9597, best_acc 0.9707

train [52/100] loss 0.0276, acc 0.9907, best_epoch 40

test [53/100] loss: 0.111, acc 0.9593, best_acc 0.9707

train [53/100] loss 0.0254, acc 0.9918, best_epoch 40

test [54/100] loss: 0.102, acc 0.9593, best_acc 0.9707

train [54/100] loss 0.0252, acc 0.9933, best_epoch 40

test [55/100] loss: 0.101, acc 0.9658, best_acc 0.9707

train [55/100] loss 0.0272, acc 0.9915, best_epoch 40

test [56/100] loss: 0.109, acc 0.9654, best_acc 0.9707

train [56/100] loss 0.0272, acc 0.9901, best_epoch 40

test [57/100] loss: 0.109, acc 0.9658, best_acc 0.9707

train [57/100] loss 0.0227, acc 0.9956, best_epoch 40

test [58/100] loss: 0.091, acc 0.9588, best_acc 0.9707

train [58/100] loss 0.0263, acc 0.9927, best_epoch 40

test [59/100] loss: 0.105, acc 0.9575, best_acc 0.9707

train [59/100] loss 0.0272, acc 0.9924, best_epoch 40

test [60/100] loss: 0.109, acc 0.9518, best_acc 0.9707

train [60/100] loss 0.0257, acc 0.9921, best_epoch 40

test [61/100] loss: 0.103, acc 0.8888, best_acc 0.9707

train [61/100] loss 0.0239, acc 0.9959, best_epoch 40

test [62/100] loss: 0.096, acc 0.9632, best_acc 0.9707

train [62/100] loss 0.0253, acc 0.9924, best_epoch 40

test [63/100] loss: 0.101, acc 0.9584, best_acc 0.9707

train [63/100] loss 0.0254, acc 0.9918, best_epoch 40

test [64/100] loss: 0.102, acc 0.9510, best_acc 0.9707

train [64/100] loss 0.0257, acc 0.9950, best_epoch 40

test [65/100] loss: 0.103, acc 0.9488, best_acc 0.9707

train [65/100] loss 0.0241, acc 0.9930, best_epoch 40

test [66/100] loss: 0.097, acc 0.9615, best_acc 0.9707

train [66/100] loss 0.0265, acc 0.9895, best_epoch 40

test [67/100] loss: 0.106, acc 0.9584, best_acc 0.9707

train [67/100] loss 0.0216, acc 0.9977, best_epoch 40

test [68/100] loss: 0.087, acc 0.9606, best_acc 0.9707

train [68/100] loss 0.0259, acc 0.9924, best_epoch 40

test [69/100] loss: 0.104, acc 0.9532, best_acc 0.9707

train [69/100] loss 0.0248, acc 0.9936, best_epoch 40

test [70/100] loss: 0.099, acc 0.9588, best_acc 0.9707

train [70/100] loss 0.0260, acc 0.9918, best_epoch 40

test [71/100] loss: 0.104, acc 0.9602, best_acc 0.9707

train [71/100] loss 0.0240, acc 0.9945, best_epoch 40

test [72/100] loss: 0.096, acc 0.9584, best_acc 0.9707

train [72/100] loss 0.0240, acc 0.9953, best_epoch 40

test [73/100] loss: 0.096, acc 0.9549, best_acc 0.9707

train [73/100] loss 0.0249, acc 0.9945, best_epoch 40

test [74/100] loss: 0.100, acc 0.9488, best_acc 0.9707

train [74/100] loss 0.0248, acc 0.9942, best_epoch 40

test [75/100] loss: 0.099, acc 0.9615, best_acc 0.9707

train [75/100] loss 0.0237, acc 0.9945, best_epoch 40

test [76/100] loss: 0.095, acc 0.9256, best_acc 0.9707

train [76/100] loss 0.0248, acc 0.9936, best_epoch 40

test [77/100] loss: 0.099, acc 0.9619, best_acc 0.9707

train [77/100] loss 0.0222, acc 0.9971, best_epoch 40

test [78/100] loss: 0.089, acc 0.9562, best_acc 0.9707

train [78/100] loss 0.0263, acc 0.9918, best_epoch 40

test [79/100] loss: 0.105, acc 0.9637, best_acc 0.9707

train [79/100] loss 0.0211, acc 0.9980, best_epoch 40

test [80/100] loss: 0.084, acc 0.9501, best_acc 0.9707

train [80/100] loss 0.0267, acc 0.9889, best_epoch 40

test [81/100] loss: 0.107, acc 0.9444, best_acc 0.9707

train [81/100] loss 0.0222, acc 0.9985, best_epoch 40

test [82/100] loss: 0.089, acc 0.9571, best_acc 0.9707

