alex 256*256 batch_size = 4, 0.4¾ù·Ö  1e-6
test [50/100] loss: 0.284, acc 0.9260, best_acc 0.9352

train [50/100] loss 0.0680, acc 0.9577, best_epoch 37

test [51/100] loss: 0.272, acc 0.9256, best_acc 0.9352

train [51/100] loss 0.0694, acc 0.9542, best_epoch 37

test [52/100] loss: 0.278, acc 0.9177, best_acc 0.9352

train [52/100] loss 0.0665, acc 0.9597, best_epoch 37

test [53/100] loss: 0.266, acc 0.8831, best_acc 0.9352

train [53/100] loss 0.0635, acc 0.9630, best_epoch 37

test [54/100] loss: 0.254, acc 0.9212, best_acc 0.9352

train [54/100] loss 0.0630, acc 0.9638, best_epoch 37

test [55/100] loss: 0.252, acc 0.9181, best_acc 0.9352

train [55/100] loss 0.0639, acc 0.9653, best_epoch 37

test [56/100] loss: 0.256, acc 0.9291, best_acc 0.9352

train [56/100] loss 0.0599, acc 0.9708, best_epoch 37

test [57/100] loss: 0.240, acc 0.9286, best_acc 0.9352

train [57/100] loss 0.0598, acc 0.9714, best_epoch 37

test [58/100] loss: 0.239, acc 0.9124, best_acc 0.9352

train [58/100] loss 0.0569, acc 0.9746, best_epoch 37

test [59/100] loss: 0.228, acc 0.9396, best_acc 0.9396

train [59/100] loss 0.0575, acc 0.9723, best_epoch 58

test [60/100] loss: 0.230, acc 0.9505, best_acc 0.9505

train [60/100] loss 0.0535, acc 0.9772, best_epoch 59

test [61/100] loss: 0.214, acc 0.9361, best_acc 0.9505

train [61/100] loss 0.0539, acc 0.9784, best_epoch 59

test [62/100] loss: 0.216, acc 0.9400, best_acc 0.9505

train [62/100] loss 0.0543, acc 0.9770, best_epoch 59

test [63/100] loss: 0.217, acc 0.9282, best_acc 0.9505

train [63/100] loss 0.0526, acc 0.9813, best_epoch 59

test [64/100] loss: 0.211, acc 0.9396, best_acc 0.9505

train [64/100] loss 0.0534, acc 0.9796, best_epoch 59

test [65/100] loss: 0.214, acc 0.9391, best_acc 0.9505

train [65/100] loss 0.0546, acc 0.9764, best_epoch 59

test [66/100] loss: 0.218, acc 0.9479, best_acc 0.9505

train [66/100] loss 0.0516, acc 0.9805, best_epoch 59

test [67/100] loss: 0.207, acc 0.9365, best_acc 0.9505

train [67/100] loss 0.0507, acc 0.9819, best_epoch 59

test [68/100] loss: 0.203, acc 0.9466, best_acc 0.9505

train [68/100] loss 0.0499, acc 0.9810, best_epoch 59

test [69/100] loss: 0.200, acc 0.9330, best_acc 0.9505

train [69/100] loss 0.0477, acc 0.9851, best_epoch 59

test [70/100] loss: 0.191, acc 0.9461, best_acc 0.9505

train [70/100] loss 0.0480, acc 0.9848, best_epoch 59

test [71/100] loss: 0.192, acc 0.9335, best_acc 0.9505

train [71/100] loss 0.0496, acc 0.9831, best_epoch 59

test [72/100] loss: 0.199, acc 0.9440, best_acc 0.9505

train [72/100] loss 0.0450, acc 0.9875, best_epoch 59

test [73/100] loss: 0.180, acc 0.9405, best_acc 0.9505

train [73/100] loss 0.0473, acc 0.9831, best_epoch 59

test [74/100] loss: 0.190, acc 0.9426, best_acc 0.9505

train [74/100] loss 0.0467, acc 0.9851, best_epoch 59

test [75/100] loss: 0.187, acc 0.9426, best_acc 0.9505

train [75/100] loss 0.0469, acc 0.9851, best_epoch 59

test [76/100] loss: 0.188, acc 0.9431, best_acc 0.9505

train [76/100] loss 0.0497, acc 0.9828, best_epoch 59

test [77/100] loss: 0.199, acc 0.9440, best_acc 0.9505

train [77/100] loss 0.0460, acc 0.9857, best_epoch 59

test [78/100] loss: 0.184, acc 0.9527, best_acc 0.9527

train [78/100] loss 0.0462, acc 0.9866, best_epoch 77

test [79/100] loss: 0.185, acc 0.9448, best_acc 0.9527

train [79/100] loss 0.0445, acc 0.9869, best_epoch 77

test [80/100] loss: 0.178, acc 0.9339, best_acc 0.9527

train [80/100] loss 0.0448, acc 0.9875, best_epoch 77

test [81/100] loss: 0.179, acc 0.9514, best_acc 0.9527

train [81/100] loss 0.0452, acc 0.9851, best_epoch 77

test [82/100] loss: 0.181, acc 0.9479, best_acc 0.9527

train [82/100] loss 0.0417, acc 0.9883, best_epoch 77

test [83/100] loss: 0.167, acc 0.9383, best_acc 0.9527

train [83/100] loss 0.0466, acc 0.9845, best_epoch 77

test [84/100] loss: 0.187, acc 0.9413, best_acc 0.9527

train [84/100] loss 0.0438, acc 0.9869, best_epoch 77

test [85/100] loss: 0.175, acc 0.9549, best_acc 0.9549

train [85/100] loss 0.0444, acc 0.9875, best_epoch 84

test [86/100] loss: 0.178, acc 0.9107, best_acc 0.9549

train [86/100] loss 0.0436, acc 0.9860, best_epoch 84

test [87/100] loss: 0.174, acc 0.9387, best_acc 0.9549

train [87/100] loss 0.0441, acc 0.9883, best_epoch 84

test [88/100] loss: 0.177, acc 0.9453, best_acc 0.9549

train [88/100] loss 0.0436, acc 0.9904, best_epoch 84

test [89/100] loss: 0.175, acc 0.9256, best_acc 0.9549

train [89/100] loss 0.0445, acc 0.9866, best_epoch 84

test [90/100] loss: 0.178, acc 0.9422, best_acc 0.9549

train [90/100] loss 0.0436, acc 0.9886, best_epoch 84

test [91/100] loss: 0.174, acc 0.9317, best_acc 0.9549

train [91/100] loss 0.0434, acc 0.9866, best_epoch 84

test [92/100] loss: 0.174, acc 0.9523, best_acc 0.9549

train [92/100] loss 0.0438, acc 0.9875, best_epoch 84

test [93/100] loss: 0.175, acc 0.9361, best_acc 0.9549

train [93/100] loss 0.0412, acc 0.9907, best_epoch 84

test [94/100] loss: 0.165, acc 0.9440, best_acc 0.9549

train [94/100] loss 0.0420, acc 0.9904, best_epoch 84

test [95/100] loss: 0.168, acc 0.9413, best_acc 0.9549

train [95/100] loss 0.0447, acc 0.9842, best_epoch 84

test [96/100] loss: 0.179, acc 0.9435, best_acc 0.9549

train [96/100] loss 0.0411, acc 0.9912, best_epoch 84

test [97/100] loss: 0.165, acc 0.8752, best_acc 0.9549

train [97/100] loss 0.0412, acc 0.9924, best_epoch 84

test [98/100] loss: 0.165, acc 0.8818, best_acc 0.9549

train [98/100] loss 0.0416, acc 0.9918, best_epoch 84

test [99/100] loss: 0.167, acc 0.9488, best_acc 0.9549

train [99/100] loss 0.0415, acc 0.9901, best_epoch 84

test [100/100] loss: 0.166, acc 0.8984, best_acc 0.9549

